iter	Accuracy	Logloss
815	0.88025	0.2944302368
816	0.88025	0.2944098511
817	0.88025	0.2943995361
818	0.880375	0.2943813782
819	0.880375	0.2943666077
820	0.88025	0.2942601929
821	0.880375	0.2941930542
822	0.8805	0.2941807556
823	0.880375	0.294178894
824	0.880375	0.2941473694
825	0.8805	0.2941161804
826	0.8805	0.2941116943
827	0.8805	0.2940752258
828	0.8805	0.2940700073
829	0.880625	0.293993866
830	0.880625	0.2939772644
831	0.880625	0.2939663391
832	0.8805	0.2939368286
833	0.8805	0.2939289856
834	0.8805	0.2939243164
835	0.880625	0.2938640747
836	0.880625	0.293863678
837	0.88075	0.2938318787
838	0.88075	0.2938285828
839	0.88075	0.2938239746
840	0.88075	0.2937737427
841	0.88075	0.2937709656
842	0.88075	0.2937265625
843	0.88075	0.29371875
844	0.88075	0.2936884766
845	0.880875	0.2936428833
846	0.88075	0.2936145325
847	0.881	0.2935340576
848	0.881	0.2935310974
849	0.881125	0.2935258789
850	0.881	0.2934651184
851	0.881125	0.2934548035
852	0.881125	0.293427063
853	0.881125	0.2934075012
854	0.881125	0.2933545837
855	0.881	0.2933346558
856	0.881	0.2933110046
857	0.881	0.293310791
858	0.88125	0.2932465515
859	0.88125	0.2932416077
860	0.88125	0.2932400208
861	0.88125	0.2931839905
862	0.88125	0.2931514587
863	0.88125	0.2931468811
864	0.88125	0.2930992126
865	0.88125	0.2930691833
866	0.881125	0.2930202637
867	0.881125	0.2929844971
868	0.88125	0.2929630127
869	0.881125	0.2929569092
870	0.88125	0.2927880249
871	0.88125	0.292787384
872	0.88125	0.2927511292
873	0.88125	0.292746521
874	0.88125	0.2927437134
875	0.881375	0.2927130737
876	0.88125	0.2927111511
877	0.881375	0.2926455994
878	0.8815	0.2925717468
879	0.8815	0.2925328674
880	0.8815	0.2925217285
881	0.881375	0.2925192871
882	0.881375	0.2925032654
883	0.881375	0.2924969482
884	0.881375	0.2924954529
885	0.881375	0.2924213562
886	0.881375	0.2924032288
887	0.8815	0.2923677979
888	0.881375	0.2922973633
889	0.881375	0.2922946472
890	0.881375	0.2922251587
891	0.881375	0.2922216187
892	0.8815	0.2921950989
893	0.8815	0.2921549683
894	0.8815	0.292090332
895	0.8815	0.2920776062
896	0.8815	0.2920490417
897	0.8815	0.292041748
898	0.8815	0.2920086975
899	0.8815	0.2919837646
900	0.88175	0.2918687439
901	0.8815	0.2918009644
